runt_code,name
1194,TIGER
1195,GOLOEN LEOPARO
1196,FULU
1197,CHENGLONG
1198,EV TECH JAPAN
1199,WYS
1200,HM HONDA
1201,GOES
1202,XINYUE
1203,VECTRIX
1204,SUPERFORMANCE
1205,FENGCHI
1206,SHA TUO
1207,MAXUS
1208,DONGBEN
1209,LVTONG
1210,ATV RACING
1211,ULTIMA
1212,DONG-A
1213,KOEHRING
1214,TIANMA
1215,KAMA
1216,RAINCHST
1217,DBO
1218,V-WINGS
1219,VICMARS
1220,NBLUCK
1221,HUANSONG
1222,TL
1223,SKYNGO
1224,GRUMMAN
1225,ACURA
1226,TESUO
1228,YUAMDA
1229,SUNRA
1230,MAKIBA
1231,LIATONG
1244,COMMUTER
1318,WEAPON GENERAL
1323,ZIMMER
1324,XIANFENG
1325,WRIGHTBUS
1326,BELKOMMUNMASH
2155,CAN-AM OUTLANDER
2156,HEXAGON LINCOLN
2157,STANDARD
2158,SKYMOTO
2159,JMCOMPETETIOM
2160,FAW-HONGQI
2162,GOLIATH
2163,STANDARD TRIUMPH
2164,JC
2165,CANAM
2166,UM
2167,KHD DEUNZ
2213,DIAMONTH
2299,I H C PAYSTAR
2300,SAIC
2301,TIGER POWER
2302,LA CANE
2303,HC
2304,YUEHAO
2305,ATK
2306,SANTANA
2307,FTF
2308,PITSTER PRO
2309,FMC WAYNE
2310,SAETA
2311,MD BASHAN
2312,WARRIOR ROAD
2313,ARES
2314,THAMES TRADER
2315,TAILG
2316,DURATI
2317,ILLUSION
2318,ZEASY
2319,GOGOMOBIL
